code,currency,country,capital,lat,long
AED,UAE Dirham,United Arab Emirates,Abu Dhabi,24.28,54.22
AFN,Afghan Afghani,Afghanistan,Kabul,34.28,69.11
ALL,Albanian Lek,Albania,Tirane,41.18,19.49
AMD,Armenian Dram,Armenia,Yerevan,40.1,44.31
ANG,Netherlands Antillian Guilder,Netherlands Antilles,Willemstad,12.05,-69
AOA,Angolan Kwanza,Angola,Luanda,-8.5,13.15
ARS,Argentine Peso,Argentina,Buenos Aires,-36.3,-60
AUD,Australian Dollar,Australia,Canberra,-35.15,149.08
AWG,Aruban Florin,Aruba,Oranjestad,12.32,-70.02
AZN,Azerbaijani Manat,Azerbaijan,Baku,40.29,49.56
BAM,Bosnia and Herzegovina Mark,Bosnia and Herzegovina,Sarajevo,43.52,18.26
BBD,Barbados Dollar,Barbados,Bridgetown,13.05,-59.3
BDT,Bangladeshi Taka,Bangladesh,Dhaka,23.43,90.26
BGN,Bulgarian Lev,Bulgaria,Sofia,42.45,23.2
BHD,Bahraini Dinar,Bahrain,Manama,26.1,50.3
BIF,Burundian Franc,Burundi,Bujumbura,-3.16,29.18
BMD,Bermudian Dollar,Bermuda,Bujumbura,-3.16,29.18
BND,Brunei Dollar,Brunei,Bujumbura,-3.16,29.18
BOB,Bolivian Boliviano,Bolivia,La Paz (administrative) / Sucre (legislative),-16.2,-68.1
BRL,Brazilian Real,Brazil,Brasilia,-15.47,-47.55
BSD,Bahamian Dollar,Bahamas,Nassau,25.05,-77.2
BTN,Bhutanese Ngultrum,Bhutan,Thimphu,27.31,89.45
BWP,Botswana Pula,Botswana,Gaborone,-24.45,25.57
BYN,Belarusian Ruble,Belarus,Minsk,53.52,27.3
BZD,Belize Dollar,Belize,Belmopan,17.18,-88.3
CAD,Canadian Dollar,Canada,Ottawa,45.27,-75.42
CDF,Congolese Franc,Democratic Republic of the Congo,Kinshasa,-4.2,15.15
CHF,Swiss Franc,Switzerland,Bern,46.57,7.28
CLP,Chilean Peso,Chile,Santiago,-33.24,-70.4
CNY,Chinese Renminbi,China,Beijing,39.55,116.2
COP,Colombian Peso,Colombia,Bogota,4.34,-74
CRC,Costa Rican Colon,Costa Rica,San Jose,9.55,-84.02
CUC,Cuban Convertible Peso,Cuba,Havana,23.08,-82.22
CUP,Cuban Peso,Cuba,Havana,23.08,-82.22
CVE,Cape Verdean Escudo,Cape Verde,Praia,15.02,-23.34
CZK,Czech Koruna,Czech Republic,Prague,50.05,14.22
DJF,Djiboutian Franc,Djibouti,Djibouti,11.08,42.2
DKK,Danish Krone,Denmark,Copenhagen,55.41,12.34
DOP,Dominican Peso,Dominican Republic,Copenhagen,55.41,12.34
DZD,Algerian Dinar,Algeria,Algiers,36.42,3.08
EGP,Egyptian Pound,Egypt,Cairo,30.01,31.14
ERN,Eritrean Nakfa,Eritrea,Asmara,15.19,38.55
ETB,Ethiopian Birr,Ethiopia,Addis Ababa,9.02,38.42
EUR,Euro,European Union,Addis Ababa,9.02,38.42
FJD,Fiji Dollar,Fiji,Suva,-18.06,178.3
FKP,Falkland Islands Pound,Falkland Islands,Suva,-18.06,178.3
FOK,Faroese Króna,Faroe Islands,Torshavn,62.05,-6.56
GBP,Pound Sterling,United Kingdom,Torshavn,62.05,-6.56
GEL,Georgian Lari,Georgia,T'bilisi,41.43,44.5
GGP,Guernsey Pound,Guernsey,St. Peter Port,49.26,-2.33
GHS,Ghanaian Cedi,Ghana,Accra,5.35,-0.06
GIP,Gibraltar Pound,Gibraltar,Accra,5.35,-0.06
GMD,Gambian Dalasi,The Gambia,Accra,5.35,-0.06
GNF,Guinean Franc,Guinea,Conakry,9.29,-13.49
GTQ,Guatemalan Quetzal,Guatemala,Guatemala,14.4,-90.22
GYD,Guyanese Dollar,Guyana,Georgetown,6.5,-58.12
HKD,Hong Kong Dollar,Hong Kong,Georgetown,6.5,-58.12
HNL,Honduran Lempira,Honduras,Tegucigalpa,14.05,-87.14
HRK,Croatian Kuna,Croatia,Zagreb,45.5,15.58
HTG,Haitian Gourde,Haiti,Port-au-Prince,18.4,-72.2
HUF,Hungarian Forint,Hungary,Budapest,47.29,19.05
IDR,Indonesian Rupiah,Indonesia,Jakarta,-6.09,106.49
ILS,Israeli New Shekel,Israel,Jerusalem,31.71,-35.1
IMP,Manx Pound,Isle of Man,Jerusalem,31.71,-35.1
INR,Indian Rupee,India,New Delhi,28.37,77.13
IQD,Iraqi Dinar,Iraq,Baghdad,33.2,44.3
